PartitionKey,RowKey,date,news_counter,tweet_counter
BNP Paribas,35,2021-12-14,7,15
Bank of America,31,2021-12-14,278,13
Bank of New York Mellon,13,2021-12-14,0,15
Barclays,57,2021-12-14,32,15
Citigroup,14,2021-12-14,5,15
Credit Suisse,14,2021-12-14,10,15
Credit Suisse,28,2021-12-14,10,15
Danske Banke,10,2021-12-14,1,0
Danske Banke,11,2021-12-14,1,0
Deutsche Bank,38,2021-12-14,6,15
Deutsche Bank,53,2021-12-14,8,15
Deutsche Boerse,4,2021-12-14,0,15
Deutsche Boerse,5,2021-12-14,0,15
ESG,373,2021-12-14,244,15
EUREX,17,2021-12-14,0,15
EUREX,9,2021-12-14,0,15
EuroNext,48,2021-12-14,14,15
EuroNext,67,2021-12-14,11,15
Euroclear,13,2021-12-14,0,15
Euroclear,8,2021-12-14,0,15
HSBC,55,2021-12-14,34,15
HSBC,87,2021-12-14,37,15
ICE Clear Europe,13,2021-12-14,8,0
JPMorgan Chase,72,2021-12-14,24,13
London Stock Exchange,49,2021-12-14,28,15
London Stock Exchange,70,2021-12-14,27,15
Morgan Stanley,100,2021-12-14,95,15
Nomura,85,2021-12-14,110,15
