PartitionKey,RowKey,Timestamp,date,news_counter,tweet_counter
BNP Paribas,50,2021-12-15 12:51:59,2021-12-15,4,14
Bank of America,45,2021-12-15 01:04:50,2021-12-15,141,15
Bank of America,61,2021-12-15 10:36:53,2021-12-15,186,13
Bank of America,78,2021-12-15 11:04:11,2021-12-15,194,13
Bank of America,93,2021-12-15 12:53:32,2021-12-15,0,15
Bank of New York Mellon,16,2021-12-15 12:45:15,2021-12-15,1,15
Barclays,104,2021-12-15 12:44:56,2021-12-15,39,15
Barclays,74,2021-12-15 01:07:20,2021-12-15,7,15
Citigroup,28,2021-12-15 12:51:07,2021-12-15,7,14
Clearstream,8,2021-12-15 12:52:07,2021-12-15,0,15
Credit Suisse,44,2021-12-15 12:52:33,2021-12-15,2,14
Danske Banke,12,2021-12-15 12:51:20,2021-12-15,1,0
Deutsche Bank,72,2021-12-15 12:53:03,2021-12-15,4,15
Deutsche Boerse,6,2021-12-15 12:43:36,2021-12-15,0,15
ESG,384,2021-12-15 01:04:56,2021-12-15,85,12
ESG,404,2021-12-15 12:45:48,2021-12-15,133,15
EUREX,20,2021-12-15 12:44:42,2021-12-15,0,15
EuroNext,86,2021-12-15 12:44:21,2021-12-15,9,15
HSBC,102,2021-12-15 01:06:48,2021-12-15,17,15
HSBC,116,2021-12-15 12:53:48,2021-12-15,0,15
ICE Clear Europe,16,2021-12-15 12:51:52,2021-12-15,7,0
JPMorgan Chase,93,2021-12-15 12:46:10,2021-12-15,32,15
LCH Ltd,1,2021-12-15 12:46:15,2021-12-15,1,0
London Stock Exchange,84,2021-12-15 12:52:17,2021-12-15,7,15
Morgan Stanley,118,2021-12-15 01:05:01,2021-12-15,31,15
Morgan Stanley,134,2021-12-15 12:53:31,2021-12-15,64,14
Nomura,95,2021-12-15 12:54:07,2021-12-15,0,15
Societe Generale,23,2021-12-15 12:46:13,2021-12-15,0,15
