PartitionKey,RowKey,Timestamp,news_counter,tweet_counter,date
BNP Paribas,51,2021-12-17 01:48:01,4,15,2021-12-17
Bank of America,114,2021-12-17 01:47:25,133,15,2021-12-17
Bank of America,134,2021-12-17 12:52:19,188,14,2021-12-17
Bank of New York Mellon,18,2021-12-17 01:43:55,3,13,2021-12-17
Bank of New York Mellon,22,2021-12-17 12:52:39,1,13,2021-12-17
Barclays,119,2021-12-17 01:45:26,12,15,2021-12-17
Barclays,143,2021-12-17 12:54:36,27,15,2021-12-17
ESG,422,2021-12-17 01:47:38,47,15,2021-12-17
EUREX,22,2021-12-17 00:01:29,0,15,2021-12-17
EUREX,23,2021-12-17 01:48:28,0,15,2021-12-17
EUREX,26,2021-12-17 12:56:32,0,15,2021-12-17
Euroclear,17,2021-12-17 12:50:48,0,15,2021-12-17
ICE Clear Europe,17,2021-12-17 12:57:46,2,1,2021-12-17
JPMorgan Chase,105,2021-12-17 01:45:35,12,15,2021-12-17
JPMorgan Chase,118,2021-12-17 13:00:56,13,11,2021-12-17
Nomura,122,2021-12-17 01:48:23,59,15,2021-12-17
Nomura,163,2021-12-17 12:54:46,96,15,2021-12-17
